Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
AG KRAFTWERK WAGITAL;EUR/CHF;2013;34593,4950325518;0;34470,7928964502;122,7021361016;2787,1381208361;0;1,7996313295;2785,3384895066;109,859312523;37380,6331533879;15683,3780293878;12270,2136101613;3413,1644192265;18187,4014215255;17996,3132949032;191,0881266222;191,0881266222;3509,8537024746;0;454,2433078482;3055,6103946264;37380,6331533879;8518,7185009906;7797,8025506816;2046,3444244786;6069,5838644024;402,7902121096;149,6148046199;319,2709581364;233,1340585931;78,0385585606;338,2488885201;2,5358441461;490,8085444065;n.a.;1286,6545991615;1705,6414932365;1408,6205224465;n.a.;16;0,81801;B+;CH;30.09.;CH13000031163
AG KRAFTWERK WAGITAL;EUR/CHF;2012;34155,0503612699;0;33981,4394648216;173,6108964483;2034,1410033864;0;14,1368872822;2020,0041161042;182,9528161144;36189,1913646563;15850,2614864561;12400,7783177385;3449,4831687176;15141,3503259587;14880,9339812862;260,4163446725;260,4163446725;5197,5795522415;0;1419,145070682;3778,4344815595;36189,1913646563;9014,7044621523;8451,2130953943;2839,4475473403;5614,8244067057;560,4325081063;158,2339313343;233,8786790725;484,7877603681;17,8571207775;29,3485086853;0,2480155664;496,0311327095;n.a.;2003,6350887247;1743,7147751849;1154,5124613815;n.a.;16;0,82672;B+;CH;30.09.;CH13000031163
AG KRAFTWERK WAGITAL;EUR/CHF;2011;28193,5722596013;0;27996,3920047849;197,1802548164;1740,1157487545;0;52,1706090868;1687,9451396677;70,6562579759;29933,6880083558;15751,8268144459;12323,7659260236;3428,0608884222;8501,5910032872;8215,8439506824;285,7470526047;285,7470526047;5680,2701906228;0;1643,743899213;4036,5262914098;29933,6880083558;8447,8593838497;7772,1062189061;3040,6838461476;4883,0868520881;524,088685614;164,3168790136;125,2094618084;563,1961028193;99,4938702428;30,2343057385;0,9859012741;492,9506370409;n.a.;2351,4566971248;1696,5717758159;837,5231323326;n.a.;16;0,82158;B+;CH;30.09.;CH13000031163
CEOTRONICS AKTIENGESELL- SCHAFT AUDIO . VIDEO . DATA COMMUNICATION;;2013;8565,00209;925,61819;5164,33505;2475,04885;8374,78824;4852,74916;2473,1776;1048,86148;116,30632;16939,79033;10834,72702;6599,994;4234,73302;3999,73459;2456;1543,73459;1543,73459;2105,32872;1425,10426;287,47547;392,74899;16939,79033;16299,23997;16017,42662;8326,11983;8002,23813;-29,11799;96,00158;685,37985;-618,49626;319,86563;n.a.;n.a.;-938,36189;n.a.;5798;6350;622,27889;1978,68376;108;0;A+;DE;31.05.;DE6050017221
CEOTRONICS AKTIENGESELL- SCHAFT AUDIO . VIDEO . DATA COMMUNICATION;;2012;8973,18704;769,19519;5203,943;3000,04885;8820,20832;4230,93442;1897,26912;2692,00478;620,77992;17793,39536;12565,08819;6599,994;5965,09419;3744,3005;2615;1129,3005;1129,3005;1484,00667;449;599,96978;435,03689;17793,39536;17503,4596;16591,4786;9059,48342;6378,35387;2065,62231;506,64438;1112,45235;1459,81434;420,17698;n.a.;n.a.;1039,63736;n.a.;6853;6319;1429,69066;1804,71208;105;0;A+;DE;31.05.;DE6050017221
CEOTRONICS AKTIENGESELL- SCHAFT AUDIO . VIDEO . DATA COMMUNICATION;;2011;9046,29729;204,9115;4989,76962;3851,61617;7798,0753;3520,24849;1560,06528;2717,76153;472,22886;16844,37259;11525,45083;6599,994;4925,45683;3151,74465;2761,98256;389,76209;389,76209;2167,17711;554;857,81526;755,36185;16844,37259;12071,01224;11754,85921;6386,03376;5505,84817;179,13031;90,2085;158,03691;111,3019;24,79582;n.a.;n.a.;86,50608;n.a.;4562;5133;459,31773;1427,26868;101;0;A+;DE;31.05.;DE6050017221
ASTEX GMBH;;2013;1470,5777;9,43231;1421,60377;39,54162;6863,10329;2105,83857;788,83718;3968,42754;3628,72218;8333,68099;7072,22095;306,77513;6765,44582;1032,89719;156,48029;876,4169;876,4169;228,56285;0;149,43205;79,1308;8333,68099;13817,60491;13609,49125;9007,94661;3178,32969;1631,32861;42,99801;2,76312;1671,5635;n.a.;n.a.;1671,5635;0;n.a.;6598;3238;336,86461;1635,92328;48;0; D;DE;31.12.;DE2010118765
ASTEX GMBH;;2012;1515,93635;5,45039;1470,94434;39,54162;6796,50138;1952,03758;568,76358;4275,70022;1481,90237;8312,43773;7072,22095;306,77513;6765,44582;782,69302;0;782,69302;782,69302;457,52376;0;189,58326;267,9405;8312,43773;15293,24487;14904,60014;8656,52046;3078,67068;3558,05373;126,49234;1,05;3683,49607;n.a.;n.a.;3683,49607;0;n.a.;5898;3205;371,91858;1410,96084;46;0; D;DE;31.12.;DE2010118765
ASTEX GMBH;;2011;1464,78803;3,484;1432,59974;28,70429;9111,42146;2529,84455;2380,02739;4201,54952;1247,27811;10576,20949;7072,22095;306,77513;6765,44582;785,474;0;785,474;785,474;2718,51454;0;238,66643;2479,84811;10576,20949;25758,15266;25082,50626;12571,2746;3232,86579;9954,01227;119,91178;0,363;10073,56105;n.a.;n.a.;10073,56105;0;n.a.;9869;2426;285,00634;1329,58784;45;0; D;DE;31.12.;DE2010118765
HCL TECHNOLOGIES DENMARK APS;EUR/DKK;2013;114,5227339776;37,7738155194;76,7489184582;0;9634,0581503931;0,2669527599;6617,491964036;3016,2992335973;1482,1217227128;9748,5808843707;1223,3110220338;436,3342859824;786,9767360514;n.a.;n.a.;n.a.;n.a.;8525,4033387169;n.a.;748,5355386323;n.a.;9748,5808843707;22149,4709142769;n.a.;15080,161404187;6337,1915661886;732,1179439013;n.a.;112,6540646586;619,3304028627;156,1673645149;n.a.;n.a.;463,1630383478;n.a.;n.a.;6312,2314831422;24,9600830464;n.a.;76;0,13348; D;DK;30.06.;DK33041454
