Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
HIGHLIGHT EVENT AND ENTERTAINMENT AG;EUR/CHF;2013;52,8684088805;0;39,0412865579;13,8271223226;16647,0419162728;42,2947271044;41,4813669678;16563,2658222005;10347,5676581239;16699,9103251533;15875,9765067537;12682,7246103699;3193,2518963838;476,6290400614;0;476,6290400614;n.a.;347,3047783382;0;22,7740838255;324,5306945128;16699,9103251533;2827,2398349032;2691,4086920871;473,3755995149;2216,406372299;137,4578630894;94,3497758483;81,3360136623;150,4716252753;72,3890521595;n.a.;n.a.;78,0825731159;n.a.;473,3755995149;1403,0462356755;n.a.;0;7;0,81336; D;CH;31.12.;CH21706303722
HIGHLIGHT EVENT AND ENTERTAINMENT AG;EUR/CHF;2012;110,802221084;0;0;110,802221084;17116,4625107371;119,8979257998;305,9464313513;16690,6181535859;10213,6495136533;17227,2647318211;16482,2438273682;12893,5748758417;3588,6689515265;117,4172790592;0;117,4172790592;0;627,6036253937;0;48,7860525668;578,8175728269;17227,2647318211;7424,5756948748;7014,4421004146;4093,8940043797;2962,7190906266;367,9625998685;62,8430507641;165,3764493791;265,4292012535;63,669933011;n.a.;n.a.;17,3645271848;n.a.;4093,8940043797;1949,7883381796;44,6516413324;0;12;0,82688; D;CH;31.12.;CH21706303722
HIGHLIGHT EVENT AND ENTERTAINMENT AG;EUR/CHF;2011;7205,339365507;4194,9006087146;2890,5140477906;119,9247090018;10233,8489688614;648,0862698797;597,9807407762;8987,7819582054;8628,8292333164;17439,1883343684;14109,2241542765;9148,7767730298;4960,4473812468;1568,0566403047;0;1568,0566403047;0;1761,9075397871;0;208,6361375785;1553,2714022086;17439,1883343684;2855,1937567832;2201,3576720883;1014,4316138168;4348,5028044909;-2507,7406615245;26,2848677264;4,1070105823;-2485,5628043803;-68,1763756654;n.a.;n.a.;-6161,337275498;n.a.;1014,4316138168;1830,905317569;462,4493915618;0;24;0,8214; D;CH;31.12.;CH21706303722
TESLA KARLIN, A.S.;EUR/CZK;2013;15798,6922389822;163,0715170774;15440,4014448671;195,2192770377;2041,3463087702;474,379927305;314,8074861416;1252,1588953236;678,4197915427;17840,0385477524;17459,4775933927;21452,7979802952;-3993,3203869025;198,6454555369;116,0891331899;82,556322347;n.a.;181,9154988228;38,7085272991;21,9421218776;121,2648496461;17840,0385477524;2117,815696975;2117,815696975;0;0;301,5037079268;0;-2,5878582281;304,0915661549;26,5346590148;n.a.;n.a.;277,55690714;0;1136,2155569634;476,6397471662;114,9227745519;n.a.;38;0,03645;A-;CZ;31.12.;CZ45273758
TESLA KARLIN, A.S.;EUR/CZK;2012;17896,0280463858;n.a.;16909,0809551577;n.a.;1396,792850629;635,4916244126;275,8026490378;485,4985771785;457,4569175922;19292,8208970147;18747,3807865077;23410,8082142248;-4663,4274277171;377,9458856587;316,8110902201;61,1347954386;n.a.;167,4942248483;42,241478696;17,3818514032;n.a.;19292,8208970147;2242,3781572189;2242,3781572189;0;0;123,3037513725;n.a.;n.a.;187,5410282973;15,1942042014;n.a.;n.a.;172,3468240959;0;1115,7000729032;786,3995059312;142,5152713445;n.a.;38;0,03978;A-;CZ;31.12.;CZ45273758
TESLA KARLIN, A.S.;EUR/CZK;2011;16729,3745664509;n.a.;16399,456776176;n.a.;2027,0642050739;695,8040614445;238,0198719547;1093,2402716747;387,6689072286;18756,4387715248;18097,8434834196;22812,660175173;-4714,8166917534;376,5837935046;331,8169880808;44,7668054238;n.a.;282,0114946006;n.a.;209,8032188391;n.a.;18756,4387715248;2232,2550863845;2232,2550863845;0;0;94,6110580429;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0;998,0865856873;719,8347275595;153,0210803578;n.a.;38;0,03876;A-;CZ;31.12.;CZ45273758
CEOTRONICS AKTIENGESELL- SCHAFT AUDIO . VIDEO . DATA COMMUNICATION;;2013;8565,00209;925,61819;5164,33505;2475,04885;8374,78824;4852,74916;2473,1776;1048,86148;116,30632;16939,79033;10834,72702;6599,994;4234,73302;3999,73459;2456;1543,73459;1543,73459;2105,32872;1425,10426;287,47547;392,74899;16939,79033;16299,23997;16017,42662;8326,11983;8002,23813;-29,11799;96,00158;685,37985;-618,49626;319,86563;n.a.;n.a.;-938,36189;n.a.;5798;6350;622,27889;1978,68376;108;0;A+;DE;31.05.;DE6050017221
CEOTRONICS AKTIENGESELL- SCHAFT AUDIO . VIDEO . DATA COMMUNICATION;;2012;8973,18704;769,19519;5203,943;3000,04885;8820,20832;4230,93442;1897,26912;2692,00478;620,77992;17793,39536;12565,08819;6599,994;5965,09419;3744,3005;2615;1129,3005;1129,3005;1484,00667;449;599,96978;435,03689;17793,39536;17503,4596;16591,4786;9059,48342;6378,35387;2065,62231;506,64438;1112,45235;1459,81434;420,17698;n.a.;n.a.;1039,63736;n.a.;6853;6319;1429,69066;1804,71208;105;0;A+;DE;31.05.;DE6050017221
CEOTRONICS AKTIENGESELL- SCHAFT AUDIO . VIDEO . DATA COMMUNICATION;;2011;9046,29729;204,9115;4989,76962;3851,61617;7798,0753;3520,24849;1560,06528;2717,76153;472,22886;16844,37259;11525,45083;6599,994;4925,45683;3151,74465;2761,98256;389,76209;389,76209;2167,17711;554;857,81526;755,36185;16844,37259;12071,01224;11754,85921;6386,03376;5505,84817;179,13031;90,2085;158,03691;111,3019;24,79582;n.a.;n.a.;86,50608;n.a.;4562;5133;459,31773;1427,26868;101;0;A+;DE;31.05.;DE6050017221
GENERAL MILLS GMBH;;2013;1043,13596;1,08205;1042,05391;0;51546,08539;51,59;9942,7272;41551,76819;3113,59432;52589,22135;15511,05522;7670;7841,05522;12352,43103;0;12352,43103;12352,43103;24725,7351;0;561,41092;24164,32418;52589,22135;14444,34113;14138,47828;396,89326;12938,39436;1109,05351;3,02332;9,96871;1102,10812;-0,426;n.a.;1102,53412;0;n.a.;397;5940;583,36152;n.a.;142;0; D;DE;30.04.;DE2150824527
